title,overview,genres,release_date,runtime,vote_average
Jeremiah Tower: The Last Magnificent,"The life of Jeremiah Tower, one of the most controversial, outrageous, and influential figures in the history of American gastronomy.","[{'id': 99, 'name': 'Documentary'}]",2016-07-29,120.0,0.0
A Man Apart,"When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge.","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",2003-04-04,109.0,5.8
The Ice Princess,"This is another variation of the Cinderella story: the bright and beautiful Ella lives in the household of a lord since her mother died. She's unhappy because the lord's daughters treat her like their servant. The country is in problems, because the prince is a dreamer and doesn't realize that his chancellor abuses his power. When the day nears the prince is forced by law to find a wife, a celebration on a frozen lake is arranged. Ella manages to skate on the lake for him too, hiding her identity. The prince falls in love with her, so he tries to find her. His chancellor attempts to hinder them, since he knows about Ella's critical thoughts.","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",1996-12-12,60.0,0.0
The Rainbow Tribe,"Morgan Roberts, a middle aged adult in crisis, reunites with his best friend when he returns to the summer camp of his youth. His troubles seem to magnify when he is joined by a rag-tag group of 10 year old campers. Through their struggles they collectively overcome their personal problems and exchange them for one of the best summers of their lives. is.","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",2011-02-01,90.0,5.3
The Retrieval,"On the outskirts of the Civil War, a boy is sent north by a bounty hunter gang to retrieve a wanted man.","[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",2013-03-11,91.0,6.4
Dhol,"Sameer Arya, Martand Damdere, Pankaj Tiwari, and Gautam Sesodia are friends who live in a small town in India. Broke, accident-prone, and unable to pay rent to their landlady, they are basically slackers with Sameer and Gautam having no family, while Pankaj has been kicked out by his brother-in-law, and Martand has illicitly borrowed money from his maternal uncle, is unable to re-pay it and hence rendered homeless. The four find out that they can better their lifestyle by obtaining a bank loan - albeit in vain as they are unable to secure one. Then they decide to woo a rich girl, let one of them marry her, and live their life in comfort...","[{'id': 35, 'name': 'Comedy'}]",2007-09-14,145.0,5.9
The Sun Shines Bright,"John Ford weaves three ""Judge Priest"" stories together to form a good- natured exploration of honour and small-town politics in the South around the turn of the century. Judge William Priest is involved variously in revealing the real identity of Lucy Lake, reliving his Civil War memories, preventing the lynching of a youth and contesting the elections with Yankee Horace K. Maydew.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",1953-05-02,92.0,6.6
Sometimes They Come Back... for More,"On a arctic circle radio shack, an ancient evil lurks, ready to strike at a psychologist, an army man and their collective forces.","[{'id': 27, 'name': 'Horror'}]",1998-09-06,89.0,3.6
Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1995-10-20,105.0,6.4
Mujhse Dosti Karoge!,"Raj has always had a unrequited childhood crush on a friend named Tina, but Tina's best friend Pooja has always had a crush on Raj. When Raj's family move to England to get involved in an internet business, Raj promises Tina that he will keep in touch with her and that their friendship will always be forever. However Tina disregards him and chooses not to respond to his first e-mail, in turn Pooja decides to keep in touch with him but signs under Tina's name. Fifteen years later, and their friendship has blossomed via e-mail, Raj believing that he's getting to know Tina when it's really Pooja. His family decides to go back on a holiday to India for 2 weeks, when Tina discovers the truth about Pooja's e-mails, they decide together that Tina will play along with the charade. When Raj arrives in India, he is struck by Tina's beauty but equally as struck to Pooja's personality. Who will he choose?","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2002-08-08,149.0,6.1
Peep World,"On the day of their Father's 70th birthday party, four siblings come to terms with the publication of a novel written by the youngest sibling, that exposes the family's most intimate secrets.","[{'id': 35, 'name': 'Comedy'}]",2010-09-15,79.0,5.2
Bar Sport,,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2011-10-21,93.0,4.7
The Citadel,"Andrew Manson, a young, idealistic, newly qualified Scottish doctor arrives in Wales takes his first job in a mining town, and begins to wonder at the persistent cough many of the miners have. When his attempts to prove its cause are thwarted, he moves to London. His new practice does badly. But when a friend shows him how to make a lucrative practice from rich hypochondriacs, it will take a great shock to show him what the truth of being a doctor really is.","[{'id': 18, 'name': 'Drama'}]",1938-10-29,110.0,6.8
Poker Alice,"She's a New Orleans gambler with a poker face no man can resist. And when she unwittingly wins a ""house of ill repute"" in a high-stakes card game, things start moving like a runaway train.",[],1987-05-21,92.0,6.0
"Gahan Wilson: Born Dead, Still Weird","Gahan Wilson: Born Dead, Still Weird is an insightful profile of the legendary cartoonist. For over fifty years, Gahan Wilson has been known for his ghoulish, twisted visions that combine horrific elements with comedy, as well as political and ecological cartoons. His cartoons have appeared in Playboy Magazine, The New Yorker, National Lampoon, The New York Times, Colliers, and Look. Wilson sees monsters and irony in ordinary, everyday situations and turns them into explosive cartoons. The documentary takes an intimate look at Wilson's bizarre and personal inspirations, the inner workings of the cartoon world, and how his quirky creations have profoundly affected legions of fans, including some surprising celebrities.","[{'id': 99, 'name': 'Documentary'}]",2013-10-11,85.0,0.0
Mississippi Grind,"Gerry is a talented but down-on-his-luck gambler whose fortunes begin to change when he meets Curtis, a younger, highly charismatic poker player.  The two strike up an immediate friendship and Gerry quickly persuades his new friend to accompany him on a road trip to a legendary high stakes poker game in New Orleans. As they make their way down the Mississippi River, Gerry and Curtis manage to find themselves in just about every bar, racetrack, casino, and pool hall they can find, experiencing both incredible highs and dispiriting lows, but ultimately forging a deep and genuine bond that will stay with them long after their adventure is over.","[{'id': 18, 'name': 'Drama'}]",2015-07-04,108.0,5.9
Enter Laughing,"David Kolowitz, a nice young man living with his parents in New York City in 1938, works at a machine repair shop. His parents want David to study to become a pharmacist. But what he really wants is to be an actor like his idol, Ronald Colman. One day, at his friend Marvin's suggestion, David tries out for a part in a play, and gets it, despite his obvious lack of acting experience (not to mention ability). True, it's a rather small part in a low-rent production. Leading the troupe is a washed-up, alcoholic actor who hires David at the urging of his actress-daughter, who finds David ""cute."" To play his part, David must come up with his own costume - a tuxedo - and pay the house five dollars a week, ostensibly for tuition. But it is David's first acting job, one which calls for him to ""enter laughing."" And if it doesn't work out - well, there's always pharmacy school.",[],1967-01-01,112.0,6.0
